"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2016,9594,85939060,7248451,"",,13-JUN-16,"",18,4,16-JUN-16,0,"C","",
2016,9594,85937878,7202883,"",,06-APR-16,"",20,4,13-APR-16,0,"C","",
2016,9594,85943404,7385155,"",,03-DEC-16,"",13,4,09-DEC-16,0,"C","",
2016,9594,85943275,7362371,"",,05-NOV-16,"",23,4,16-NOV-16,0,"C","",
2016,9594,85942322,7339587,"",,18-OCT-16,"",22,4,21-NOV-16,0,"C","",
2016,9594,85942329,7339587,"",,20-OCT-16,"",14,4,09-NOV-16,0,"C","",
2016,9594,85940133,7271235,"",,13-JUL-16,"",15,4,10-AUG-16,0,"C","",
2016,9594,85942204,7316803,"",,26-SEP-16,"",1,4,12-OCT-16,0,"C","",
2016,9594,85943393,7385155,"",,01-DEC-16,"",7,4,07-DEC-16,0,"C","",
2016,9594,85936872,7180099,"",,07-MAR-16,"",23,4,28-MAR-16,0,"C","",
2016,9594,88181942,7316803,"",17-AUG-18,06-SEP-16,"",15,6,,0,"C","F",845206
2016,9594,88181941,7362371,"",17-AUG-18,08-NOV-16,"",21,6,,0,"C","F",845222
2016,9594,88181932,7339587,"",17-AUG-18,14-OCT-16,"",15,4,08-DEC-16,0,"C","F",845233
2016,9594,89884186,7385155,"",17-AUG-18,27-DEC-16,"",11,6,,0,"C","F",5617111
2016,9594,88181938,7339587,"",17-AUG-18,18-OCT-16,"",8,6,,0,"C","F",845204
2016,9594,88181953,7339587,"",17-AUG-18,09-OCT-16,"",23,6,,0,"C","F",845215
2016,9594,90425568,7202883,"",17-AUG-18,17-APR-16,"",3,6,,0,"C","F",6726216
2016,9594,85939026,7248451,"",,01-JUN-16,"",8,6,,0,"C","",
2016,9594,85939998,7248451,"",,30-JUN-16,"",8,6,,0,"C","",
2016,9594,85939999,7202883,"",,19-APR-16,"",12,6,,0,"C","",
2016,9594,85940001,7248451,"",,23-JUN-16,"",23,6,,0,"C","",
2016,9594,85940002,7248451,"",,24-JUN-16,"",23,6,,0,"C","",
2016,9594,85940003,7248451,"",,26-JUN-16,"",13,6,,0,"C","",
2016,9594,85940004,7248451,"",,26-JUN-16,"",3,6,,0,"C","",
2016,9594,85940005,7248451,"",,28-JUN-16,"",21,6,,0,"C","",
2016,9594,85940006,7248451,"",,29-JUN-16,"",7,6,,0,"C","",
2016,9594,85940007,7248451,"",,30-JUN-16,"",1,6,,0,"C","",
2016,9594,85940008,7248451,"",,30-JUN-16,"",7,6,,0,"C","",
2016,9594,85940009,7248451,"",,30-JUN-16,"",22,6,,0,"C","",
