"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2016,11858,88492321,7273481,"",17-AUG-18,16-JUL-16,"",22,6,,0,"C","F",2185580
2016,11858,83485694,7273481,"N",,02-JUL-16,"",21,6,,0,"C","",
2016,11858,83485697,7273481,"N",,09-JUL-16,"",13,6,,0,"C","",
2016,11858,83485698,7273481,"N",,12-JUL-16,"",14,6,,0,"C","",
2016,11858,83485701,7273481,"",,13-JUL-16,"",10,6,,0,"C","",
2016,11858,83485702,7273481,"N",,16-JUL-16,"R",18,6,,0,"C","",
2016,11858,83485706,7273481,"N",,18-JUL-16,"",13,6,,0,"C","",
2016,11858,83485709,7273481,"",,25-JUL-16,"",10,6,,0,"C","",
2016,11858,83485711,7273481,"",,22-JUL-16,"",12,6,,0,"C","",
2016,11858,83485712,7273481,"",,27-JUL-16,"",9,6,,0,"C","",
2016,11858,83485714,7273481,"N",,28-JUL-16,"",14,6,,0,"C","",
2016,11858,83485715,7273481,"",,29-JUL-16,"",0,6,,0,"C","",
2016,11858,83486737,7387401,"N",,15-DEC-16,"",14,6,,0,"C","",
2016,11858,83486739,7387401,"N",,16-DEC-16,"",11,6,,0,"C","",
2016,11858,83486742,7387401,"",,20-DEC-16,"",8,6,,0,"C","",
2016,11858,83486745,7387401,"N",,26-DEC-16,"",9,6,,0,"C","",
2016,11858,83485716,7273481,"N",,29-JUL-16,"R",10,6,,0,"C","",
2016,11858,83485717,7273481,"",,31-JUL-16,"",15,6,,0,"C","",
2016,11858,83485720,7341833,"",,11-OCT-16,"",23,6,,0,"C","",
2016,11858,83485722,7341833,"",,13-OCT-16,"",11,6,,0,"C","",
2016,11858,83485726,7341833,"",,15-OCT-16,"",22,6,,0,"C","",
2016,11858,83485727,7341833,"N",,16-OCT-16,"",20,6,,0,"C","",
2016,11858,83485732,7341833,"",,22-OCT-16,"",16,6,,0,"C","",
2016,11858,83485733,7341833,"",,26-OCT-16,"",13,6,,0,"C","",
2016,11858,83485748,7387401,"",,02-DEC-16,"",8,6,,0,"C","",
2016,11858,83485752,7387401,"",,13-DEC-16,"",16,6,,0,"C","",
2016,11858,83485755,7387401,"",,20-DEC-16,"",15,6,,0,"C","",
2016,11858,83485757,7387401,"",,22-DEC-16,"",10,6,,0,"C","",
2016,11858,83485758,7387401,"",,23-DEC-16,"",12,6,,0,"C","",
