"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2017,11790,89514595,7554223,"N",17-AUG-18,18-FEB-17,"",9,6,,0,"C","F",4833601
2017,11790,89514621,7554225,"",17-AUG-18,29-MAR-17,"",10,6,,0,"C","F",4833687
2017,11790,89514590,7554222,"N",17-AUG-18,05-JAN-17,"",18,6,,0,"C","F",4833606
2017,11790,89514600,7554223,"",17-AUG-18,10-FEB-17,"",21,6,,0,"C","F",4833588
2017,11790,89514593,7554222,"N",17-AUG-18,09-JAN-17,"",13,6,,0,"C","F",4833574
2017,11790,95534840,7880168,"",20-AUG-18,09-NOV-17,"",12,6,,0,"C","F",16770832
2017,11790,92581336,7714583,"",17-AUG-18,09-OCT-17,"",16,6,,0,"C","F",10637009
2017,11790,92076915,7554222,"",17-AUG-18,01-JAN-17,"",16,6,,0,"C","F",9722496
2017,11790,92076896,7554225,"",17-AUG-18,22-MAR-17,"",14,6,,0,"C","F",9722484
2017,11790,92076925,7688156,"",17-AUG-18,01-JUN-17,"",12,6,,0,"C","F",9722490
2017,11790,92076924,7688156,"",17-AUG-18,02-JUN-17,"",16,6,,0,"C","F",9722492
2017,11790,96997075,7688152,"",20-AUG-18,26-AUG-17,"",19,6,,0,"C","F",19395076
2017,11790,95534829,7714583,"N",20-AUG-18,21-OCT-17,"",5,6,,0,"C","F",16770841
2017,11790,95534831,7880160,"",20-AUG-18,06-JUL-17,"",16,6,,0,"C","F",16770828
2017,11790,95534832,7880164,"",20-AUG-18,21-MAY-17,"",18,6,,0,"C","F",16770842
2017,11790,95534841,7688156,"N",20-AUG-18,17-JUN-17,"",21,6,,0,"C","F",16770839
2017,11790,95534833,7688157,"",20-AUG-18,04-APR-17,"",14,6,,0,"C","F",16770822
2017,11790,95534836,7880164,"N",20-AUG-18,29-MAY-17,"",22,6,,0,"C","F",16770830
2017,11790,95534834,7880168,"",20-AUG-18,24-NOV-17,"",15,6,,0,"C","F",16770837
2017,11790,95534844,7880160,"",20-AUG-18,16-JUL-17,"",1,6,,0,"C","F",16770827
2017,11790,96997050,7714585,"N",20-AUG-18,13-SEP-17,"",4,6,,0,"C","F",19395056
2017,11790,96997064,7880168,"N",20-AUG-18,24-NOV-17,"",14,6,,0,"C","F",19395077
2017,11790,96997032,7880160,"",20-AUG-18,21-JUL-17,"",18,6,,0,"C","F",19395023
2017,11790,96997063,7880168,"",20-AUG-18,03-NOV-17,"",12,6,,0,"C","F",19395065
2017,11790,96997027,7688156,"",20-AUG-18,17-JUN-17,"",17,6,,0,"C","F",19395014
2017,11790,96997084,7880160,"",20-AUG-18,20-JUL-17,"",0,6,,0,"C","F",19395081
2017,11790,96997036,7880164,"",20-AUG-18,17-MAY-17,"",21,6,,0,"C","F",19395019
2017,11790,96997088,7688156,"N",20-AUG-18,17-JUN-17,"",22,6,,0,"C","F",19395089
2017,11790,96997030,7688156,"N",20-AUG-18,17-JUN-17,"",11,6,,0,"C","F",19395025
2017,11790,101733056,7880879,"N",21-DEC-18,21-DEC-17,"",18,6,,0,"C","F",28794154
2017,11790,101733058,7554225,"",21-DEC-18,31-MAR-17,"",15,6,,0,"C","F",28807834
2017,11775,88986861,7528720,"",17-AUG-18,08-JAN-17,"",22,6,,0,"C","F",3649470
2017,11775,88986872,7528722,"",17-AUG-18,01-FEB-17,"",0,6,,0,"C","F",3649472
2017,11775,90154076,7528722,"",17-AUG-18,14-FEB-17,"",18,6,,0,"C","F",6214126
2017,11775,90154086,7589985,"",17-AUG-18,17-MAR-17,"",23,6,,0,"C","F",6214130
2017,11775,89514342,7528720,"N",17-AUG-18,25-JAN-17,"",13,6,,0,"C","F",4832837
2017,11775,90154061,7589985,"N",17-AUG-18,16-MAR-17,"",18,6,,0,"C","F",6214116
2017,11775,90154077,7528720,"N",17-AUG-18,01-JAN-17,"",0,6,,0,"C","F",6214120
2017,11775,90154065,7589987,"",17-AUG-18,16-APR-17,"",2,6,,0,"C","F",6214129
2017,11775,89514345,7528720,"N",17-AUG-18,14-JAN-17,"",1,6,,0,"C","F",4832830
2017,11775,90154074,7589987,"N",17-AUG-18,23-APR-17,"",20,6,,0,"C","F",6214127
2017,11775,90154047,7589985,"N",17-AUG-18,28-MAR-17,"",23,6,,0,"C","F",6214113
2017,11775,90154069,7589987,"N",17-AUG-18,12-APR-17,"",1,6,,0,"C","F",6214121
2017,11775,90154056,7589985,"N",17-AUG-18,09-MAR-17,"",11,6,,0,"C","F",6214114
2017,11775,90872090,7631797,"N",17-AUG-18,22-JUL-17,"",20,6,,0,"C","F",7585805
2017,11775,90872093,7631797,"",17-AUG-18,06-JUL-17,"",12,6,,0,"C","F",7585800
2017,11775,92074328,7688153,"N",17-AUG-18,25-AUG-17,"",0,6,,0,"C","F",9718082
2017,11775,90872088,7631797,"N",17-AUG-18,21-JUL-17,"",20,6,,0,"C","F",7585803
2017,11775,90872087,7631797,"N",17-AUG-18,21-JUL-17,"",17,6,,0,"C","F",7585802
2017,11775,92074317,7631797,"N",17-AUG-18,21-JUL-17,"",8,6,,0,"C","F",9718078
2017,11775,92581125,7688153,"N",17-AUG-18,14-AUG-17,"",0,6,,0,"C","F",10636672
2017,11775,92581117,7688153,"",17-AUG-18,07-AUG-17,"",0,6,,0,"C","F",10636674
2017,11775,92581118,7714564,"",17-AUG-18,03-SEP-17,"",0,6,,0,"C","F",10636676
2017,11775,92980554,7606319,"N",17-AUG-18,20-JUN-17,"",0,6,,0,"C","F",11392699
2017,11775,92980550,7528720,"",17-AUG-18,14-JAN-17,"",19,6,,0,"C","F",11392698
2017,11775,92980548,7740491,"",17-AUG-18,19-OCT-17,"",12,6,,0,"C","F",11392679
2017,11775,92980541,7740491,"",17-AUG-18,10-OCT-17,"",14,6,,0,"C","F",11392680
2017,11775,94788580,7831659,"N",20-AUG-18,10-DEC-17,"",0,6,,0,"C","F",15473735
2017,11775,94788576,7831659,"",20-AUG-18,15-DEC-17,"",23,6,,0,"C","F",15473729
2017,11775,94788587,7740490,"N",20-AUG-18,30-NOV-17,"",0,6,,0,"C","F",15473731
