agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
20570,86523857,7263934,15WK00642,,2017-11-06 00:00:00,2015-06-09 00:00:00,,17,6,,0,C,2015_06_VT0140500_15WK00642_INC,F,,8928535
20570,86523841,7263934,15WK00614,N,2017-11-06 00:00:00,2015-06-05 00:00:00,,14,6,,0,C,2015_06_VT0140500_15WK00614_INC,F,,8928439
20570,83071702,7269610,15WK00001,N,2017-11-06 00:00:00,2015-01-01 00:00:00,,14,6,,0,C,2015_01_VT0140500_15WK00001_INC,F,,1272917
20570,83071719,7269619,15WK01155,,2017-11-06 00:00:00,2015-08-24 00:00:00,,11,6,,0,C,2015_08_VT0140500_15WK01155_INC,F,,1273859
20570,86523830,7269619,15WK01091,,2017-11-06 00:00:00,2015-08-15 00:00:00,,9,6,,0,C,2015_08_VT0140500_15WK01091_INC,F,,8928449
20570,86523846,7471402,15WK00569,,2017-11-06 00:00:00,2015-05-26 00:00:00,,10,6,,0,C,2015_05_VT0140500_15WK00569_INC,F,,8929241
20570,83071035,7263936,15WK01680,,2017-11-06 00:00:00,2015-11-09 00:00:00,,10,6,,0,C,2015_11_VT0140500_15WK01680_INC,F,,1272915
20570,83071039,7269617,15WK01623,,2017-11-06 00:00:00,2015-10-30 00:00:00,,8,6,,0,C,2015_10_VT0140500_15WK01623_INC,F,,1272919
20570,83071705,7269617,15WK01456,N,2017-11-06 00:00:00,2015-10-03 00:00:00,,18,6,,0,C,2015_10_VT0140500_15WK01456_INC,F,,1273815
20570,83071706,7269617,15WK01548,,2017-11-06 00:00:00,2015-10-17 00:00:00,,11,6,,0,C,2015_10_VT0140500_15WK01548_INC,F,,1272918
20570,86523837,7269617,15WK01512,N,2017-11-06 00:00:00,2015-10-10 00:00:00,,20,6,,0,C,2015_10_VT0140500_15WK01512_INC,F,,8929258
20570,83071036,7269611,15WK00144,,2017-11-06 00:00:00,2015-02-06 00:00:00,,19,6,,0,C,2015_02_VT0140500_15WK00144_INC,F,,1272916
20570,86524531,7269611,15WK00180,N,2017-11-06 00:00:00,2015-02-15 00:00:00,,10,6,,0,C,2015_02_VT0140500_15WK00180_INC,F,,8929257
20570,83071038,7269614,15WK01886,N,2017-11-06 00:00:00,2015-12-18 00:00:00,,11,6,,0,C,2015_12_VT0140500_15WK01886_INC,F,,1273813
20570,83071059,7269614,15WK01829,,2017-11-06 00:00:00,2015-12-09 00:00:00,,12,6,,0,C,2015_12_VT0140500_15WK01829_INC,F,,1273863
20570,83071056,7269618,15WK01405,,2017-11-06 00:00:00,2015-09-29 00:00:00,,15,6,,0,C,2015_09_VT0140500_15WK01405_INC,F,,1272949
25412,83459545,7292324,15KP000150,N,2017-11-06 00:00:00,2015-02-01 00:00:00,,14,6,,0,C,2015_02_VT0111100_15KP000150_INC,F,,2456794
25412,83901343,7319286,15KP000320,N,2017-11-06 00:00:00,2015-07-29 00:00:00,,17,6,,0,C,2015_07_VT0111100_15KP000320_INC,F,,3521633
25412,84666150,7319288,15KP000234,N,2017-11-06 00:00:00,2015-05-19 00:00:00,,14,6,,0,C,2015_05_VT0111100_15KP000234_INC,F,,5241731
25412,84666148,7319287,15KP000212,N,2017-11-06 00:00:00,2015-06-23 00:00:00,,10,6,,0,C,2015_06_VT0111100_15KP000212_INC,F,,5242117
25412,84667224,7319287,15KP000258,,2017-11-06 00:00:00,2015-06-08 00:00:00,,13,6,,0,C,2015_06_VT0111100_15KP000258_INC,F,,5241719
25412,84667229,7319285,15KP000273,N,2017-11-06 00:00:00,2015-08-17 00:00:00,,14,6,,0,C,2015_08_VT0111100_15KP000273_INC,F,,5241732
25412,87964416,7472688,15KP000403,N,2017-11-06 00:00:00,2015-12-10 00:00:00,,14,6,,0,C,2015_12_VT0111100_15KP000403_INC,F,,11672937
25412,86539951,7472688,15KP000485,N,2017-11-06 00:00:00,2015-12-02 00:00:00,,17,6,,0,C,2015_12_VT0111100_15KP000485_INC,F,,8961275
25412,86539921,7472688,15KP000488,N,2017-11-06 00:00:00,2015-12-04 00:00:00,,16,6,,0,C,2015_12_VT0111100_15KP000488_INC,F,,8961273
25412,84667226,7319338,15KP000209,N,2017-11-06 00:00:00,2015-04-29 00:00:00,,17,6,,0,C,2015_04_VT0111100_15KP000209_INC,F,,5242118
25412,84667227,7319338,15KP000174,N,2017-11-06 00:00:00,2015-04-21 00:00:00,,13,6,,0,C,2015_04_VT0111100_15KP000174_INC,F,,5241724
20521,84273726,7340103,15WT00065,N,2017-11-06 00:00:00,2015-01-07 00:00:00,,12,6,,0,C,2015_01_VT0041000_15WT00065_INC,F,,4381424
20521,87008492,7340103,15WT00381,,2017-11-06 00:00:00,2015-01-31 00:00:00,,11,6,,0,C,2015_01_VT0041000_15WT00381_INC,F,,9873965
20521,87008485,7340103,15WT00309,N,2017-11-06 00:00:00,2015-01-26 00:00:00,,10,6,,0,C,2015_01_VT0041000_15WT00309_INC,F,,9875266
20521,88241090,7263869,15WT02859,,2017-11-06 00:00:00,2015-07-08 00:00:00,,16,6,,0,C,2015_07_VT0041000_15WT02859_INC,F,,12286889
20521,83070268,7263869,15WT04065,N,2017-11-06 00:00:00,2015-07-13 00:00:00,,15,6,,0,C,2015_07_VT0041000_15WT04065_INC,F,,1271306
20521,83069369,7263867,15WT04115,N,2017-11-06 00:00:00,2015-09-20 00:00:00,,19,6,,0,C,2015_09_VT0041000_15WT04115_INC,F,,1269692
20521,83069400,7263867,15WT03859,,2017-11-06 00:00:00,2015-09-10 00:00:00,,13,6,,0,C,2015_09_VT0041000_15WT03859_INC,F,,1269749
20521,88241072,7269521,15WT01637,,2017-11-06 00:00:00,2015-04-25 00:00:00,,15,6,,0,C,2015_04_VT0041000_15WT01637_INC,F,,12287273
20521,83070254,7269521,15WT01647,,2017-11-06 00:00:00,2015-04-26 00:00:00,,14,6,,0,C,2015_04_VT0041000_15WT01647_INC,F,,1269695
20521,84273407,7269523,15WT02489,N,2017-11-06 00:00:00,2015-06-17 00:00:00,,16,6,,0,C,2015_06_VT0041000_15WT02489_INC,F,,4380372
20521,83069397,7269523,15WT02626,N,2017-11-06 00:00:00,2015-06-25 00:00:00,,14,6,,0,C,2015_06_VT0041000_15WT02626_INC,F,,1269741
20521,84273393,7269522,15WT04794,,2017-11-06 00:00:00,2015-11-13 00:00:00,,13,6,,0,C,2015_11_VT0041000_15WT04794_INC,F,,4380353
20521,84273408,7269522,15WT05023,,2017-11-06 00:00:00,2015-11-29 00:00:00,,13,6,,0,C,2015_11_VT0041000_15WT05023_INC,F,,4381433
20521,83070274,7269522,15WT04820,,2017-11-06 00:00:00,2015-11-15 00:00:00,,16,6,,0,C,2015_11_VT0041000_15WT04820_INC,F,,1269801
20521,83070264,7269522,15WT04716,N,2017-11-06 00:00:00,2015-11-07 00:00:00,,0,6,,0,C,2015_11_VT0041000_15WT04716_INC,F,,1269736
