"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2017,20518,89928425,7576583,"",17-AUG-18,24-APR-17,"",13,6,,0,"C","F",5700846
2017,20518,89928416,7576583,"N",17-AUG-18,26-APR-17,"",14,6,,0,"C","F",5700842
2017,20518,89928433,7576583,"",17-AUG-18,22-APR-17,"",0,6,,0,"C","F",5700845
2017,20518,89928256,7576598,"",17-AUG-18,18-JAN-17,"",8,6,,0,"C","F",5700519
2017,20518,89928320,7576590,"N",17-AUG-18,26-FEB-17,"",12,6,,0,"C","F",5700647
2017,20518,90115982,7588323,"N",17-AUG-18,22-MAY-17,"",9,6,,0,"C","F",6134524
2017,20518,89928306,7576590,"N",17-AUG-18,21-FEB-17,"",19,6,,0,"C","F",5700633
2017,20518,90115934,7588323,"",17-AUG-18,02-MAY-17,"",10,6,,0,"C","F",6134427
2017,20518,90115950,7588323,"",17-AUG-18,15-MAY-17,"",11,6,,0,"C","F",6134485
2017,20518,90115953,7588323,"N",17-AUG-18,18-MAY-17,"",11,6,,0,"C","F",6134494
2017,20518,89928259,7576598,"",17-AUG-18,13-JAN-17,"",15,6,,0,"C","F",5700521
2017,20518,89928326,7576601,"N",17-AUG-18,01-MAR-17,"",18,6,,0,"C","F",5700660
2017,20518,89928348,7576601,"",17-AUG-18,20-MAR-17,"",17,6,,0,"C","F",5700687
2017,20518,89928383,7576583,"N",17-AUG-18,03-APR-17,"",5,6,,0,"C","F",5700755
2017,20518,90115964,7588323,"",17-AUG-18,17-MAY-17,"",19,6,,0,"C","F",6134491
2017,20518,90115992,7588323,"N",17-AUG-18,22-MAY-17,"",17,6,,0,"C","F",6134538
2017,20518,89928266,7576598,"",17-AUG-18,31-JAN-17,"",11,5,16-FEB-17,0,"C","F",5700557
2017,20518,89928385,7576583,"",17-AUG-18,03-APR-17,"",16,6,,0,"C","F",5700760
2017,20518,89928397,7576583,"N",17-AUG-18,10-APR-17,"",18,6,,0,"C","F",5700784
2017,20518,90115975,7588323,"N",17-AUG-18,22-MAY-17,"",12,6,,0,"C","F",6134523
2017,20518,89928331,7576601,"N",17-AUG-18,05-MAR-17,"",14,6,,0,"C","F",5700667
2017,20518,89928391,7576583,"",17-AUG-18,06-APR-17,"",14,5,06-APR-17,0,"C","F",5700773
2017,20518,90115947,7588323,"N",17-AUG-18,13-MAY-17,"",8,6,,0,"C","F",6134466
2017,20518,90115940,7576583,"N",17-AUG-18,19-APR-17,"",15,6,,0,"C","F",6134415
2017,20518,89928260,7576598,"",17-AUG-18,05-JAN-17,"",15,2,29-MAR-17,0,"C","F",5700523
2017,20518,89928252,7576598,"N",17-AUG-18,06-JAN-17,"",19,6,,0,"C","F",5700513
2017,20518,89928421,7576583,"N",17-AUG-18,23-APR-17,"",12,6,,0,"C","F",5700840
2017,20518,89928386,7576583,"",17-AUG-18,02-APR-17,"",14,6,,0,"C","F",5700754
2017,20518,89928419,7576583,"N",17-AUG-18,19-APR-17,"",19,6,,0,"C","F",5700823
2017,20518,89928373,7576601,"",17-AUG-18,08-MAR-17,"",22,6,,0,"C","F",5700680
2017,20518,90115977,7588323,"",17-AUG-18,19-MAY-17,"",9,6,,0,"C","F",6134512
2017,20518,90115929,7576583,"N",17-AUG-18,22-APR-17,"",12,6,,0,"C","F",6134422
2017,20518,89928368,7576601,"",17-AUG-18,28-MAR-17,"",17,6,,0,"C","F",5700708
2017,20518,89928270,7576598,"",17-AUG-18,29-JAN-17,"",20,6,,0,"C","F",5700548
2017,20518,89928337,7576590,"",17-AUG-18,23-FEB-17,"",15,6,,0,"C","F",5700643
2017,20518,90115928,7576583,"N",17-AUG-18,29-APR-17,"",20,6,,0,"C","F",6134428
2017,20518,90115949,7588323,"N",17-AUG-18,05-MAY-17,"",4,6,,0,"C","F",6134447
2017,20518,90115939,7588323,"N",17-AUG-18,05-MAY-17,"",7,6,,0,"C","F",6134455
2017,20518,90115974,7588323,"N",17-AUG-18,22-MAY-17,"",7,6,,0,"C","F",6134516
2017,20518,89928299,7576590,"",17-AUG-18,03-FEB-17,"",21,6,,0,"C","F",5700607
2017,20518,89928374,7576601,"",17-AUG-18,17-MAR-17,"",22,6,,0,"C","F",5700683
2017,20518,89928424,7576583,"N",17-AUG-18,24-APR-17,"",13,6,,0,"C","F",5700844
2017,20518,89928345,7576601,"",17-AUG-18,15-MAR-17,"",12,6,,0,"C","F",5700686
2017,20518,89928390,7576583,"N",17-AUG-18,07-APR-17,"",9,6,,0,"C","F",5700775
2017,20518,89928269,7576598,"",17-AUG-18,29-JAN-17,"",20,6,,0,"C","F",5700552
2017,20518,89928431,7576583,"N",17-AUG-18,28-APR-17,"",14,6,,0,"C","F",5700858
2017,20518,90115963,7576583,"",17-AUG-18,15-APR-17,"",10,6,,0,"C","F",6134496
2017,20518,90115967,7588323,"N",17-AUG-18,19-MAY-17,"",5,6,,0,"C","F",6134506
2017,20518,90115962,7588323,"",17-AUG-18,07-MAY-17,"",15,6,,0,"C","F",6134465
2017,20518,90115957,7588323,"N",17-AUG-18,17-MAY-17,"",13,6,,0,"C","F",6134488
2017,20518,90115954,7576583,"",17-AUG-18,20-APR-17,"",5,6,,0,"C","F",6134475
2017,20518,90115938,7576583,"N",17-AUG-18,17-APR-17,"",14,6,,0,"C","F",6134420
2017,20518,89928361,7576601,"N",17-AUG-18,27-MAR-17,"",13,6,,0,"C","F",5700705
2017,20518,89928314,7576590,"",17-AUG-18,22-FEB-17,"",13,5,23-FEB-17,0,"C","F",5700646
2017,20518,89928384,7576583,"N",17-AUG-18,03-APR-17,"",17,6,,0,"C","F",5700765
2017,20518,89928347,7576601,"",17-AUG-18,09-MAR-17,"",8,6,,0,"C","F",5700682
2017,20518,89928376,7576583,"",17-AUG-18,03-APR-17,"",11,5,28-APR-17,0,"C","F",5700759
2017,20518,89928307,7576590,"",17-AUG-18,24-FEB-17,"",13,6,,0,"C","F",5700642
2017,20518,90115983,7588323,"N",17-AUG-18,22-MAY-17,"",7,6,,0,"C","F",6134517
2017,20518,99280597,7605340,"N",21-AUG-18,16-JUN-17,"",16,6,,0,"C","F",23969103
2017,20518,99266604,7576598,"N",21-AUG-18,21-JAN-17,"",13,6,,0,"C","F",23944299
2017,20518,99276279,7605341,"",21-AUG-18,01-JUL-17,"",8,6,,0,"C","F",23960449
2017,20518,99276281,7605340,"",21-AUG-18,27-JUN-17,"",8,6,,0,"C","F",23960446
2017,20518,99276292,7605341,"",21-AUG-18,01-JUL-17,"",14,6,,0,"C","F",23960454
2017,20518,99280609,7605341,"",21-AUG-18,02-JUL-17,"",13,6,,0,"C","F",23969150
2017,20518,99280613,7605341,"",21-AUG-18,31-JUL-17,"",20,6,,0,"C","F",23969168
2017,20518,99280586,7576590,"",21-AUG-18,10-FEB-17,"",20,6,,0,"C","F",23969081
2017,20518,99280584,7576601,"",21-AUG-18,17-MAR-17,"",17,6,,0,"C","F",23969080
2017,20518,99280610,7605340,"",21-AUG-18,22-JUN-17,"",7,6,,0,"C","F",23969149
2017,20518,99280614,7605341,"",21-AUG-18,31-JUL-17,"",15,6,,0,"C","F",23969169
2017,20518,99276280,7605340,"",21-AUG-18,28-JUN-17,"",17,6,,0,"C","F",23960447
2017,20518,99276282,7605341,"",21-AUG-18,01-JUL-17,"",8,6,,0,"C","F",23960455
2017,20518,99276291,7605341,"N",21-AUG-18,09-JUL-17,"",16,6,,0,"C","F",23960468
2017,20518,99325828,7605340,"N",21-AUG-18,13-JUN-17,"",11,6,,0,"C","F",24038129
2017,20518,99325847,7713615,"",21-AUG-18,13-OCT-17,"",19,6,,0,"C","F",24038163
2017,20518,99280591,7576583,"",21-AUG-18,02-APR-17,"",10,6,,0,"C","F",23969095
2017,20518,99280616,7657918,"",21-AUG-18,03-AUG-17,"",10,6,,0,"C","F",23969172
2017,20518,99266608,7588323,"N",21-AUG-18,09-MAY-17,"",9,6,,0,"C","F",23944322
2017,20518,99266621,7605340,"",21-AUG-18,09-JUN-17,"",11,6,,0,"C","F",23944363
2017,20518,99280600,7605340,"N",21-AUG-18,04-JUN-17,"",14,6,,0,"C","F",23969118
2017,20518,99276296,7605341,"",21-AUG-18,16-JUL-17,"",17,6,,0,"C","F",23960478
2017,20518,99276290,7605341,"",21-AUG-18,02-JUL-17,"",19,6,,0,"C","F",23960461
2017,20518,99266611,7576601,"N",21-AUG-18,21-MAR-17,"",21,6,,0,"C","F",23944319
2017,20518,99266624,7605340,"",21-AUG-18,10-JUN-17,"",14,6,,0,"C","F",23944367
2017,20518,99307224,7657918,"N",21-AUG-18,29-AUG-17,"",16,6,,0,"C","F",24009717
2017,20518,99266610,7576598,"",21-AUG-18,29-JAN-17,"",11,6,,0,"C","F",23944309
2017,20518,99266616,7588323,"",21-AUG-18,20-MAY-17,"",9,6,,0,"C","F",23944337
2017,20518,99280604,7605340,"",21-AUG-18,10-JUN-17,"",23,6,,0,"C","F",23969123
2017,20518,99280612,7605341,"",21-AUG-18,31-JUL-17,"",9,6,,0,"C","F",23969165
2017,20518,99307193,7657918,"N",21-AUG-18,31-AUG-17,"",17,6,,0,"C","F",24009673
2017,20518,99307221,7687077,"",21-AUG-18,02-SEP-17,"",19,6,,0,"C","F",24009698
2017,20518,99307194,7657918,"",21-AUG-18,02-AUG-17,"",0,6,,0,"C","F",24009669
2017,20518,99307199,7657918,"",21-AUG-18,25-AUG-17,"",17,6,,0,"C","F",24009650
2017,20518,99266605,7576590,"",21-AUG-18,17-FEB-17,"",23,6,,0,"C","F",23944300
2017,20518,99280630,7657918,"",21-AUG-18,31-AUG-17,"",9,6,,0,"C","F",23969210
2017,20518,99413625,7576601,"",21-AUG-18,21-MAR-17,"",15,6,,0,"C","F",24167457
2017,20518,99413636,7605340,"",21-AUG-18,11-JUN-17,"",0,6,,0,"C","F",24167476
2017,20518,99413681,7755303,"N",21-AUG-18,08-DEC-17,"",18,6,,0,"C","F",24167570
2017,20518,99413687,7755303,"",21-AUG-18,13-DEC-17,"",19,6,,0,"C","F",24167579
2017,20518,99307196,7657918,"N",21-AUG-18,31-AUG-17,"",19,6,,0,"C","F",24009674
2017,20518,99307241,7687077,"N",21-AUG-18,20-SEP-17,"",16,6,,0,"C","F",24009743
2017,20518,99416381,7755303,"",21-AUG-18,23-DEC-17,"",7,6,,0,"C","F",24172418
2017,20518,99413642,7605340,"N",21-AUG-18,17-JUN-17,"",8,6,,0,"C","F",24167479
2017,20518,99413648,7687077,"",21-AUG-18,06-SEP-17,"",13,6,,0,"C","F",24167497
2017,20518,99413653,7713615,"N",21-AUG-18,17-OCT-17,"",13,6,,0,"C","F",24167510
2017,20518,99413672,7755302,"N",21-AUG-18,17-NOV-17,"",17,6,,0,"C","F",24167553
2017,20518,99413682,7755303,"",21-AUG-18,09-DEC-17,"",0,6,,0,"C","F",24167572
2017,20518,99325824,7576583,"",21-AUG-18,30-APR-17,"",21,6,,0,"C","F",24038123
2017,20518,99325855,7713615,"N",21-AUG-18,19-OCT-17,"",17,6,,0,"C","F",24038170
2017,20518,99266626,7605340,"",21-AUG-18,14-JUN-17,"",8,6,,0,"C","F",23944374
2017,20518,99280611,7605341,"",21-AUG-18,17-JUL-17,"",20,6,,0,"C","F",23969156
2017,20518,99266627,7605340,"N",21-AUG-18,22-JUN-17,"",7,6,,0,"C","F",23944381
2017,20518,99280592,7605340,"N",21-AUG-18,03-JUN-17,"",22,6,,0,"C","F",23969096
2017,20518,99280629,7657918,"",21-AUG-18,20-AUG-17,"",22,6,,0,"C","F",23969199
2017,20518,99418196,7605341,"",21-AUG-18,15-JUL-17,"",8,6,,0,"C","F",24175498
2017,20518,99307231,7687077,"N",21-AUG-18,15-SEP-17,"",18,6,,0,"C","F",24009724
2017,20518,99307246,7687077,"N",21-AUG-18,25-SEP-17,"",18,6,,0,"C","F",24009747
2017,20518,99325833,7687077,"N",21-AUG-18,01-SEP-17,"",8,6,,0,"C","F",24038138
2017,20518,99325836,7687077,"",21-AUG-18,14-SEP-17,"",7,6,,0,"C","F",24038148
2017,20518,99325853,7713615,"",21-AUG-18,18-OCT-17,"",19,6,,0,"C","F",24038165
2017,20518,99307230,7687077,"",21-AUG-18,15-SEP-17,"",23,6,,0,"C","F",24009726
2017,20518,99413659,7713615,"",21-AUG-18,27-OCT-17,"",17,6,,0,"C","F",24167518
2017,20518,99413679,7755302,"N",21-AUG-18,25-NOV-17,"",16,6,,0,"C","F",24167561
2017,20518,99413628,7576590,"",21-AUG-18,27-FEB-17,"",13,5,14-MAR-17,0,"C","F",24167459
2017,20518,99413671,7755302,"",21-AUG-18,10-NOV-17,"",22,6,,0,"C","F",24167543
2017,20518,99413633,7657918,"N",21-AUG-18,10-AUG-17,"",8,6,,0,"C","F",24167482
2017,20518,99413683,7755303,"N",21-AUG-18,11-DEC-17,"",16,6,,0,"C","F",24167576
2017,20518,99276300,7605341,"N",21-AUG-18,20-JUL-17,"",17,6,,0,"C","F",23960483
2017,20518,99266628,7605340,"",21-AUG-18,22-JUN-17,"",8,6,,0,"C","F",23944382
2017,20518,99266607,7588323,"N",21-AUG-18,02-MAY-17,"",9,6,,0,"C","F",23944315
2017,20518,99416384,7755302,"N",21-AUG-18,05-NOV-17,"",18,6,,0,"C","F",24172425
2017,20518,99280598,7605340,"N",21-AUG-18,01-JUN-17,"",17,6,,0,"C","F",23969106
2017,20518,99280621,7657918,"",21-AUG-18,11-AUG-17,"",12,6,,0,"C","F",23969186
2017,20518,99276298,7605341,"N",21-AUG-18,18-JUL-17,"",11,6,,0,"C","F",23960480
2017,20518,99413640,7605340,"",21-AUG-18,25-JUN-17,"",0,6,,0,"C","F",24167483
2017,20518,99413657,7713615,"N",21-AUG-18,25-OCT-17,"",15,6,,0,"C","F",24167519
2017,20518,99307192,7657918,"",21-AUG-18,17-AUG-17,"",12,5,01-SEP-17,0,"C","F",24009646
2017,20518,99325840,7713615,"N",21-AUG-18,02-OCT-17,"",20,6,,0,"C","F",24038151
2017,20518,99325832,7687077,"",21-AUG-18,22-SEP-17,"",8,5,09-OCT-17,0,"C","F",24038136
2017,20518,99325837,7687077,"N",21-AUG-18,30-SEP-17,"",9,6,,0,"C","F",24038147
2017,20518,99413685,7755303,"",21-AUG-18,15-DEC-17,"",16,6,,0,"C","F",24167580
2017,20518,99276288,7605341,"",21-AUG-18,02-JUL-17,"",9,6,,0,"C","F",23960459
2017,20518,99276293,7605341,"",21-AUG-18,13-JUL-17,"",2,6,,0,"C","F",23960474
2017,20518,99280617,7657918,"",21-AUG-18,04-AUG-17,"",18,6,,0,"C","F",23969178
2017,20518,99280632,7657918,"",21-AUG-18,29-AUG-17,"",21,6,,0,"C","F",23969209
