state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0010400,PNS2MV6APU72,20140404,F,2,001,03,W,13B,001,12,13,I
01,AL0011200,2W1Z0U7PLY W,20140322,N,1,001,02,U,13B,001,14,21,I
01,AL0011200,2W1Z0UFP9Y8R,20141202,N,4,001,01,B,13C,001,23,32,I
01,AL0040100,8E0IAMSQT2 N,20140928,F,3,001,01,W,13C,001,21,14,I
01,AL0040100,8E0QKBSQV2 N,20140419,F,2,000,00,U,290,001,11,12, 
01,AL0040100,8E0QAESD62 N,20140422,F,2,001,02,W,13C,001,20,12,I
01,AL0040100,8E0VRWS9T2 N,20140506,F,2,001,01,B,13C,001,13,11,I
01,AL0610100,8E040WBD72 N,20140929,F,3,001,00,U,220,001,20,12,I
01,AL0610100,8E01AE3R72 N,20141229,F,4,001,01,B,13C,001,20,11,I
02,AZ0030100,L54PX4-FG0W5,20141004,F,4,001,00,U,13A,001,13,41,I
02,AZ0039700,NA4HP0ZPTD1A,20140124,F,1,001,00,U,13C,001,22,12,I
02,AZ0039700,NA4HP0ZOTD1A,20140124,F,1,001,04,U,13C,001,22,41,I
02,AZ0039700,GI4MQ1FU6X I,20140128,F,1,001,00,U,13B,001,22,41,I
02,AZ0039700,GI4MQ19C6X I,20140204,F,1,001,00,U,23*,001,22,41,I
02,AZ0039700,694J42O4-F39,20140217,F,1,001,01,A,13A,001,22,41,I
02,AZ0039700,694J42OK-F39,20140219,F,1,001,01,A,13B,001,18,41,I
02,AZ0039700,694J42AE-F39,20140301,F,1,001,00,U,13C,001,01,41,I
02,AZ0039700,694J42BC-F39,20140303,F,1,000,00,U,290,001,22,21, 
02,AZ0039700,NA4HQ07LTD1A,20140919,F,3,017,00,U,290,017,22,45,I
02,AZ0039700,GI4MR1PC6X I,20141022,F,4,000,00,U,290,001,22,12, 
02,AZ0070000,8E04SYZR72 N,20140704,F,3,002,00,U,290,002,20,41,I
02,AZ0070000,8E01KB3-72 N,20140921,F,3,001,01,B,13A,001,15,12,I
02,AZ0070000,W43BVZC9G0W5,20140324,F,1,001,01,W,13B,001,04,12,I
02,AZ0070000,8E01SVBR72 N,20141027,F,4,001,01,B,13B,001,15,12,I
02,AZ0070100,WV2CT4V9G0W5,20140201,F,1,001,00,U,290,001,20,12,I
02,AZ0070100,F 22K7 MQ-F3,20140610,F,2,001,00,U,290,001,20,24,I
02,AZ0070100,EZ56KPID1AEM,20141017,F,4,001,00,U,13A,001,23,33,I
02,AZ0070500,W43BVZC9G0W5,20140324,F,1,001,01,W,13B,001,04,12,I
02,AZ0070700,G94JR2YEUF39,20140401,F,2,002,01,W,13C,002,13,12,I
02,AZ0071100,CN00W5HLO73T,20140324,N,1,000,00,U,290,001,50,12, 
02,AZ0071100,F 0NJ45HZL73,20140707,N,3,000,00,U,290,001,50,12, 
02,AZ0071300,W43CKF39G0W5,20140101,F,1,001,01,W,13B,001,20,41,I
02,AZ0071300,8E840OPU 28N,20140120,F,1,001,01,W,13C,001,13,32,I
02,AZ0071300,714DD6AHPU72,20140421,F,2,001,00,U,290,001,18,12,I
02,AZ0071300,1K64K20CTD1A,20140606,F,2,000,00,U,290,001,04,25, 
02,AZ0071300,F 7GBR1MQ-F3,20140612,F,2,000,00,U,290,001,04,22, 
02,AZ0071300,8E8GAFQU 28N,20140717,F,3,001,00,U,290,001,18,12,I
02,AZ0071300,8E8ARCEU 28N,20140721,F,3,001,00,U,290,001,20,12,I
02,AZ0071300,EZ955NUD1AEM,20140804,F,3,001,00,U,290,001,20,43,I
02,AZ0071300,711B64-WPU72,20141217,F,4,001,00,U,290,001,25,12,I
02,AZ0071500, K1C4DZ G0W5,20140123,F,1,002,00,U,290,002,20,12,I
02,AZ0071700,2W1Z0HK2JY2A,20140407,F,2,001,00,U,290,001,20,12,I
02,AZ0071700,3A1P1VS3-39I,20140421,F,2,001,01,W,13B,001,22,12,I
02,AZ0071700,3A1P17K3NJ6I,20140526,F,2,000,00,U,290,001,04,23, 
02,AZ0071700,Z81B2IBZL7I9,20140816,F,3,001,01,W,13A,001,03,12,I
