"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
1,"Florida",3,2015,5,2,113,0.154089165720119,0.598256204551115,0.534169690718934,-0.467739452267647,1.00190914298658,"Trump",24744,0.0701312835861506,6738,0.0190973403169852,26581,0.0753378454980387,2589,0.00733793619481668,35230,0.09985148402603,17924,0.0508015327755481,66964,0.189794345055892,29445,0.0834552071287668,20224249,1.48336781256995e-07,0.0892286239031358,0.0826757816928554,0.150653016801578,0.273249552184659,31482,29170,53154,96409,1.00190914298658,1.00190914298658
4,"Florida",2,2015,5,2,113,0.145631769479443,0.595504280629479,0.548878638957618,-0.466111695429884,1.0149903343875,"Trump",23418,0.0645283954699512,6843,0.0188559146895925,25441,0.0701027803036565,3118,0.00859166184453446,35717,0.0984183406354193,19400,0.053456779917886,68778,0.189518062329503,31679,0.0872916150009644,20224249,9.88911875046633e-08,0.0833843101595437,0.078694442148191,0.151875120553305,0.276809677330468,30261,28559,55117,100457,1.00190914298658,0.724523510799403
5,"Florida",1,2015,6,2,114,0.125601516098114,0.605471127651428,0.561348985411404,-0.481172630697563,1.04252161610897,"Trump",18196,0.0487573520545559,6830,0.018301424188427,26132,0.0700223743619287,1633,0.00437572850654484,35096,0.0940419887726256,20929,0.0560806012942296,69471,0.1861520116829,33690,0.0902745213628264,20224249,4.94455937523317e-08,0.0670587762429829,0.0743981028684736,0.150122590066855,0.276426533045727,25026,27765,56025,103161,1.0149903343875,1.00190914298658
7,"Florida",2,2015,6,2,114,0.141847281908958,0.628531852805966,0.598158976290286,-0.493684579614031,1.09184355590432,"Trump",26836,0.0699692339782031,9289,0.0242191166501538,19366,0.0504927778067477,3126,0.00815038848620744,36233,0.0944699379464984,21713,0.0566120873963602,70405,0.183566251238463,34303,0.0894378682797101,20224249,9.88911875046633e-08,0.0941883506283569,0.0586431662929551,0.151082025342859,0.273004119518173,36125,22492,57946,104708,1.04252161610897,1.0149903343875
8,"Florida",3,2015,6,2,114,0.155045358082268,0.63289054201364,0.604156912911002,-0.501544249776229,1.10570116268723,"Trump",27272,0.0699120715732267,9074,0.0232612986746648,22262,0.0570688815401574,2868,0.00735214950396062,36421,0.0933656335717399,21041,0.0539388346279064,69277,0.177592350483222,33474,0.0858109666999923,20224249,1.48336781256995e-07,0.0931733702478915,0.064421031044118,0.147304468199646,0.263403317183214,36346,25130,57462,102751,1.09184355590432,1.04252161610897
10,"Florida",1,2015,7,3,115,0.172392604560257,0.617110458953005,0.582173787793854,-0.49469188268869,1.07686567048254,"Trump",25299,0.0650952280481466,9452,0.0243203326420444,20425,0.0525542524559625,2928,0.00753384828352794,35868,0.0922896414732173,20323,0.0522918028231347,68007,0.174984433134523,31355,0.0806775317383943,20224249,4.94455937523317e-08,0.0894155606901911,0.0600881007394904,0.144581444296352,0.255661964872918,34751,23353,56191,99362,1.10570116268723,1.09184355590432
11,"Florida",2,2015,7,3,115,0.174628057195032,0.619741073014002,0.579106116272633,-0.513770144938052,1.09287626121069,"Trump",26970,0.068255671522428,9077,0.0229720700930322,22247,0.0563027039065426,2899,0.00733678871870666,37287,0.0943659334095948,21301,0.053908567263598,70141,0.177512831155158,33227,0.0840908860836379,20224249,9.88911875046633e-08,0.0912277416154602,0.0636394926252493,0.148274500673193,0.261603717238796,36047,25146,58588,103368,1.07686567048254,1.10570116268723
13,"Florida",1,2015,7,3,115,0.154557362355159,0.62787275184775,0.588234158395229,-0.508479840588796,1.09671399898403,"Trump",28710,0.0737051537128554,9796,0.0251485783967653,26095,0.0669918490469161,2761,0.00708812014633207,37013,0.0950208587382068,21147,0.0542891983826455,71374,0.183233425325717,32752,0.0840818946152365,20224249,4.94455937523317e-08,0.0988537321096207,0.0740799691932482,0.149310057120852,0.267315319940954,38506,28856,58160,104126,1.09287626121069,1.07686567048254
14,"Florida",3,2015,8,3,116,0.160984217615169,0.631882311821035,0.598109768015675,-0.506623138823493,1.10473290683917,"Trump",31225,0.079779759319349,9228,0.0235775058126166,26003,0.0664375686655254,2585,0.00660466542323514,36762,0.093926773806178,20426,0.0521883543268862,70374,0.179805309282302,32060,0.0819131812258872,20224249,1.48336781256995e-07,0.103357265131966,0.0730422340887606,0.146115128133064,0.261718490508189,40453,28588,57188,102434,1.09671399898403,1.09287626121069
17,"Florida",2,2015,8,3,116,0.193341246029535,0.629005641866197,0.61510465623064,-0.493339620649258,1.1084442768799,"Trump",29161,0.0717731494927319,10154,0.024991754739179,19372,0.0476797589922568,1993,0.00490531487051249,32067,0.0789256055959478,21167,0.052097742029171,75671,0.186246904950602,32894,0.0809610774463812,20224249,9.88911875046633e-08,0.0967649042319109,0.0525850738627693,0.131023347625119,0.267207982396983,39315,21365,53234,108565,1.10473290683917,1.09671399898403
