"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
1,"Georgia",1,2015,5,2,113,0.471755146039896,0.475469497441299,0.607843667414769,-0.375343934000643,0.983187601415412,"Trump",2685,0.0834784230817062,72,0.00223852754632508,3001,0.0933030717572441,12,0.000373087924387514,4283,0.133161298345977,153,0.0047568710359408,9578,0.297786344981967,335,0.0104153712224848,10181111,9.82211076963997e-08,0.0857169506280313,0.0936761596816316,0.137918169381918,0.308201716204452,2757,3013,4436,9913,0.983187601415412,0.983187601415412
2,"Georgia",1,2015,5,2,113,0.458942137792866,0.475314311940341,0.598616182546619,-0.38149360223714,0.980109784783759,"Trump",2546,0.0786360688142817,66,0.00203848410908979,2990,0.0923495073663403,16,0.000494177965839948,4374,0.135095901411496,151,0.00466380455261451,9574,0.295703740309479,356,0.0109954597399388,10181111,9.82211076963997e-08,0.0806745529233715,0.0928436853321803,0.13975970596411,0.306699200049418,2612,3006,4525,9930,0.983187601415412,0.980109784783759
3,"Georgia",2,2015,5,2,113,0.454279791994883,0.474167350021981,0.608953709381817,-0.367891617799233,0.97684532718105,"Trump",2424,0.074339865673015,54,0.00165608611647806,2913,0.0893366455055663,13,0.000398687398411384,4294,0.131689514521422,156,0.00478424878093661,9580,0.293801944367774,382,0.0117152758610114,10181111,1.96442215392799e-07,0.075995951789493,0.0897353329039777,0.136473763302358,0.305517220228785,2478,2926,4450,9962,0.980109784783759,0.983187601415412
6,"Georgia",1,2015,6,2,114,0.481790783325394,0.491276820092506,0.647212189397626,-0.385080389925651,1.03229257932328,"Trump",2963,0.0922679288761561,61,0.00189954224145984,2871,0.0894030454955937,15,0.00046710055117865,4429,0.137919222744683,161,0.00501354591598418,9795,0.305016659919659,346,0.0107744527138542,10181111,9.82211076963997e-08,0.0941674711176159,0.0898701460467723,0.142932768660667,0.315791112633513,3024,2886,4590,10141,0.97684532718105,0.980109784783759
7,"Georgia",1,2015,6,2,114,0.503441991650711,0.487809257482502,0.667515214012225,-0.393473126380766,1.06098834039299,"Trump",3295,0.0957431352607875,78,0.00226645358128723,2903,0.0843527531599593,19,0.000552084846723812,4780,0.138892924596833,196,0.00569519105041406,10591,0.307743716402731,364,0.0105767833793404,10181111,9.82211076963997e-08,0.0980095888420747,0.0849048380066831,0.144588115647247,0.318320499782072,3373,2922,4976,10955,1.03229257932328,0.97684532718105
9,"Georgia",1,2015,6,2,114,0.524577010254584,0.465022333499947,0.663314659741744,-0.402617283201652,1.0659319429434,"Trump",3208,0.0882191178088219,75,0.00206247937520625,2138,0.0587944120558794,8,0.000219997800022,4773,0.131256187438126,153,0.00420745792542075,10363,0.284979650203498,335,0.00921240787592124,10181111,9.82211076963997e-08,0.0902815971840282,0.0590144098559014,0.135463645363546,0.294192058079419,3283,2146,4926,10698,1.06098834039299,1.03229257932328
10,"Georgia",3,2015,7,3,115,0.511269752851986,0.467958354369085,0.652988301860196,-0.392464543335141,1.04545284519534,"Trump",3171,0.0877785467128028,68,0.00188235294117647,2334,0.0646089965397924,7,0.000193771626297578,4715,0.130519031141869,156,0.00431833910034602,10172,0.28157785467128,339,0.0093840830449827,10181111,2.94663323089199e-07,0.0896608996539792,0.06480276816609,0.134837370242215,0.290961937716263,3239,2341,4871,10511,1.0659319429434,1.06098834039299
11,"Georgia",2,2015,7,3,115,0.511583692046494,0.474318019445434,0.654078305395498,-0.405926872639627,1.06000517803513,"Trump",3417,0.0944757796947578,37,0.00102300376023004,2663,0.0736286219862862,11,0.000304136253041363,5081,0.140483300154833,129,0.00356668878566689,10459,0.289178279141783,334,0.00923468259234683,10181111,1.96442215392799e-07,0.0954987834549878,0.0739327582393276,0.1440499889405,0.29841296173413,3454,2674,5210,10793,1.04545284519534,1.0659319429434
12,"Georgia",2,2015,7,3,115,0.500124460099519,0.474275247351718,0.640497941359123,-0.391575203814715,1.03207314517384,"Trump",3405,0.0970693882205371,36,0.00102628428074577,3106,0.0885455271110098,11,0.000313586863561206,5156,0.146986715320144,117,0.00333542391242374,10472,0.298534694110269,279,0.00795370317577969,10181111,1.96442215392799e-07,0.0980956725012829,0.088859113974571,0.150322139232567,0.306488397286048,3441,3117,5273,10751,1.06000517803513,1.04545284519534
14,"Georgia",1,2015,8,3,116,0.509233681671084,0.501068741505578,0.670422430071458,-0.394675084682169,1.06509751475363,"Trump",4428,0.125702606029637,41,0.00116391301879294,3560,0.101061715778118,9,0.000255493101686254,5341,0.151620961789587,133,0.00377562028047465,10932,0.31033895418157,289,0.00820416737636973,10181111,9.82211076963997e-08,0.12686651904843,0.101317208879805,0.155396582070062,0.31854312155794,4469,3569,5474,11221,1.03207314517384,1.06000517803513
