date,state,state_reaction,state_user,post_total,page_total,reaction_total,user_total,trump_page,clinton_page,hate_crime,racial_crime,racial_broad_crime,sexual_crime,population,racial_crime_rate,racial_broad_crime_rate,sexual_crime_rate,population_rate
2015-10-18,Alabama,549,401,694,260,338176,240966,195156,143020,0,0,0,0,4853160.0,0.0,0.0,0.0,1.0
2015-10-18,Alaska,410,262,694,260,338176,240966,195156,143020,0,0,0,0,737547.0,0.0,0.0,0.0,1.0
2015-10-18,Arizona,18081,10776,694,260,338176,240966,195156,143020,0,0,0,0,6833596.0,0.0,0.0,0.0,1.0
2015-10-18,Arkansas,4491,2712,694,260,338176,240966,195156,143020,0,0,0,0,2978407.0,0.0,0.0,0.0,1.0
2015-10-18,California,27093,20818,694,260,338176,240966,195156,143020,0,0,0,0,38953142.0,0.0,0.0,0.0,1.0
2015-10-18,Colorado,700,562,694,260,338176,240966,195156,143020,0,0,0,0,5452107.0,0.0,0.0,0.0,1.0
2015-10-18,Connecticut,2130,1928,694,260,338176,240966,195156,143020,0,0,0,0,3587509.0,0.0,0.0,0.0,1.0
2015-10-18,Delaware,27,22,694,260,338176,240966,195156,143020,0,0,0,0,941413.0,0.0,0.0,0.0,1.0
2015-10-18,Florida,13780,9394,694,260,338176,240966,195156,143020,0,0,0,0,20224249.0,0.0,0.0,0.0,1.0
2015-10-18,Georgia,4359,2726,694,260,338176,240966,195156,143020,0,0,0,0,10181111.0,0.0,0.0,0.0,1.0
2015-10-18,Idaho,412,267,694,260,338176,240966,195156,143020,0,0,0,0,1651523.0,0.0,0.0,0.0,1.0
2015-10-18,Illinois,5069,4029,694,260,338176,240966,195156,143020,1,0,1,0,12864342.0,0.0,7.773425177906496e-08,0.0,1.0
2015-10-18,Indiana,3064,2204,694,260,338176,240966,195156,143020,1,1,1,0,6608296.0,1.5132494065035828e-07,1.5132494065035828e-07,0.0,1.0
2015-10-18,Iowa,990,600,694,260,338176,240966,195156,143020,0,0,0,0,3121460.0,0.0,0.0,0.0,1.0
2015-10-18,Kansas,566,353,694,260,338176,240966,195156,143020,0,0,0,0,2909502.0,0.0,0.0,0.0,1.0
2015-10-18,Kentucky,11328,7580,694,260,338176,240966,195156,143020,2,2,2,0,4425999.0,4.5187538451771e-07,4.5187538451771e-07,0.0,1.0
2015-10-18,Louisiana,1439,1027,694,260,338176,240966,195156,143020,0,0,0,0,4664851.0,0.0,0.0,0.0,1.0
2015-10-18,Maine,591,435,694,260,338176,240966,195156,143020,0,0,0,0,1328484.0,0.0,0.0,0.0,1.0
