state,week,trump_num,clinton_num,total,trump_ratio
Alabama,1.0,14693,5508,20201,2.6675744371822803
Alabama,2.0,14644,5759,20403,2.542802569890606
Alabama,3.0,14557,6037,20594,2.411297001822097
Alabama,4.0,14619,5933,20552,2.464014832293949
Alabama,5.0,14822,6277,21099,2.3613191014815995
Alabama,6.0,14447,5924,20371,2.438723835246455
Alabama,7.0,15484,6900,22384,2.2440579710144926
Alabama,8.0,16166,6830,22996,2.3669106881405564
Alabama,9.0,16889,6560,23449,2.5745426829268294
Alabama,10.0,16574,6681,23255,2.4807663523424637
Alabama,11.0,16596,6165,22761,2.691970802919708
Alabama,12.0,16016,5931,21947,2.700387792952285
Alabama,13.0,15861,6299,22160,2.518018733132243
Alabama,14.0,16060,6283,22343,2.5561037720833997
Alabama,15.0,16275,6088,22363,2.673291721419185
Alabama,16.0,16268,6205,22473,2.6217566478646255
Alabama,17.0,16133,6219,22352,2.5941469689660717
Alabama,18.0,15983,6220,22203,2.569614147909968
Alabama,19.0,15993,6508,22501,2.457437000614628
Alabama,20.0,15752,6439,22191,2.4463425997825747
Alabama,21.0,15311,6445,21756,2.3756400310318075
Alabama,22.0,15334,6434,21768,2.3832763444202674
Alabama,23.0,15072,6416,21488,2.349127182044888
Alabama,24.0,15692,6416,22108,2.4457605985037407
Alabama,25.0,16493,6266,22759,2.632141717203958
Alabama,26.0,18158,5905,24063,3.0750211685012703
Alabama,27.0,18063,5896,23959,3.0636024423337855
Alabama,28.0,17728,5854,23582,3.0283566791937138
Alabama,29.0,17665,5981,23646,2.9535194783481025
Alabama,30.0,16426,6171,22597,2.6618052179549507
Alabama,31.0,16369,6185,22554,2.6465642683912693
Alabama,32.0,15947,6129,22076,2.6018926415402186
Alabama,33.0,16031,6266,22297,2.5584104691988507
Alabama,34.0,15817,6490,22307,2.4371340523882896
Alabama,35.0,15734,6693,22427,2.3508142835798598
Alabama,36.0,15962,6548,22510,2.437690897984117
Alabama,37.0,15719,6622,22341,2.37375415282392
Alabama,38.0,15883,6695,22578,2.372367438386856
Alabama,39.0,16057,6756,22813,2.3767021906453523
Alabama,40.0,16045,6898,22943,2.326036532328211
Alabama,41.0,15595,6586,22181,2.367901609474643
Alabama,42.0,17260,6775,24035,2.5476014760147603
Alabama,43.0,17040,6566,23606,2.595187328662808
Alabama,44.0,17111,6521,23633,2.6239840515258397
Alabama,45.0,15533,6873,22406,2.260002909937436
Alabama,46.0,14872,6855,21727,2.1695113056163384
Alabama,47.0,14695,6922,21617,2.1229413464316673
Alabama,48.0,13985,7350,21335,1.9027210884353742
Alabama,49.0,13781,7144,20925,1.9290313549832028
Alabama,50.0,14186,7068,21255,2.0070741369552914
Alabama,51.0,14569,7037,21606,2.0703424754867132
Alabama,52.0,14950,6583,21533,2.2710010633449795
Alabama,53.0,15780,6218,21998,2.537793502733998
Alabama,54.0,15826,6173,21999,2.563745342621092
Alabama,55.0,15807,6497,22304,2.4329690626442972
Alabama,56.0,16527,6319,22846,2.615445481880044
Alabama,57.0,16453,6606,23059,2.4906145927944294
Alabama,58.0,16438,6705,23143,2.4516032811334827
Alabama,59.0,17372,6561,23933,2.6477671086724586
Alabama,60.0,17212,6659,23871,2.5847724883616157
Alabama,61.0,18713,6168,24881,3.0338845654993514
Alabama,62.0,18482,6378,24860,2.8977735967387894
Alabama,63.0,17666,6245,23911,2.8288230584467575
Alabama,64.0,17324,6373,23697,2.71834300957163
Alabama,65.0,15244,6722,21966,2.2677774471883367
Alabama,66.0,15204,6441,21645,2.360503027480205
Alabama,67.0,15090,6216,21306,2.4276061776061777
Alabama,68.0,15740,6064,21804,2.595646437994723
Alabama,69.0,16097,6006,22103,2.68015318015318
Alabama,70.0,15783,6277,22060,2.514417715469173
Alabama,71.0,15562,6441,22003,2.416084458934948
