week,negative,total
32,5889,19391
24,3596,8282
28,3854,9151
49,3343,7573
43,3600,9512
61,2322,6427
17,3865,9744
98,1050,4044
100,1563,4681
58,2332,7174
16,3868,10648
89,1313,3456
6,4641,8078
91,1314,8387
62,5668,10083
2,2598,5079
54,2347,6532
74,3883,7883
35,4908,10850
36,4656,10743
88,1074,2747
25,3643,8423
73,5948,11370
3,3134,5986
101,836,2426
76,2372,5896
22,4164,9486
40,3142,8158
92,1865,11066
42,2891,8063
10,4941,12008
30,5199,10952
84,1360,3425
78,2132,5748
96,1623,5972
38,3928,9509
18,5209,10471
72,2908,7117
90,1117,3240
29,4957,12174
71,2910,7658
44,3166,7868
94,1375,5517
33,4959,14052
41,3429,8414
7,6761,11199
20,5227,12904
87,876,2278
95,1644,6799
75,2928,6752
46,2676,6879
82,2425,5908
99,1404,3688
5,3452,7216
12,4991,10398
31,4991,11039
68,3715,8781
13,4227,8023
55,2180,5409
69,3204,9461
45,2703,7368
83,1942,4330
81,2713,8246
23,3483,8163
14,3231,7716
51,2210,5667
70,3746,13818
9,3751,8910
53,1960,5481
65,3240,8137
4,4010,7861
79,2221,5504
50,2734,6233
47,3248,8562
11,4788,11316
63,6584,12293
66,3514,9455
39,2748,6759
64,5055,10216
86,1216,3157
60,2496,8040
15,3778,8029
57,2243,6097
8,5059,9035
59,3269,9218
21,5833,15667
77,2252,5910
93,1493,7036
85,1239,3075
27,4059,9663
1,3302,6498
26,4326,9336
67,2791,6598
97,1256,4666
52,2025,4897
48,3561,7954
56,2289,5534
19,4594,9759
80,2293,7610
34,3831,9082
37,3578,9342
