"data_year","state_id","state_abbr","total_population","total_agencies","participation_agencies","covered_agencies","population_covered","nibrs_participating_agencies","nibrs_population"
1960,1,"AK",226167,55,6,0,0,0,0
1960,2,"AL",4399070,555,129,0,0,0,0
1960,3,"AR",2401768,406,113,0,0,0,0
1960,4,"AS",0,1,0,0,0,0,0
1960,5,"AZ",1366305,179,40,0,0,0,0
1960,6,"CA",16368213,949,378,0,0,0,0
1960,7,"CO",1907470,338,102,0,0,0,0
1960,8,"CT",2684393,137,56,0,0,0,0
1960,9,"CZ",42122,1,0,0,0,0,0
1960,10,"DC",763956,3,1,0,0,0,0
1960,11,"DE",461321,86,10,0,0,0,0
1960,12,"FL",6101318,1263,145,0,0,0,0
1960,13,"GA",5334916,980,241,0,0,0,0
1960,14,"GM",62044,3,1,0,0,0,0
1960,15,"HI",636977,18,13,0,0,0,0
1960,16,"IA",3046521,316,191,0,0,0,0
1960,17,"ID",797197,167,75,0,0,0,0
1960,18,"IL",14647507,1282,377,0,0,0,0
1960,19,"IN",4857233,424,211,0,0,0,0
1960,20,"KS",2429550,511,184,0,0,0,0
1960,21,"KY",3902623,731,179,0,0,0,0
1960,22,"LA",3820690,337,90,0,0,0,0
1960,23,"MA",5436949,532,145,0,0,0,0
1960,24,"MD",3322495,223,43,0,0,0,0
1960,25,"ME",1046265,274,62,0,0,0,0
1960,26,"MI",8490942,929,267,0,0,0,0
1960,27,"MN",3623178,511,204,0,0,0,0
1960,28,"MO",5212502,812,223,0,0,0,0
1960,29,"MS",3116331,328,104,0,0,0,0
1960,30,"MT",726457,159,81,0,0,0,0
1960,31,"NE",1508063,359,126,0,0,0,0
1960,32,"NC",5782199,899,185,0,0,0,0
1960,33,"ND",717457,156,68,0,0,0,0
1960,34,"NH",630932,263,30,0,0,0,0
1960,35,"NJ",6598342,738,275,0,0,0,0
1960,36,"NM",1164251,183,47,0,0,0,0
1960,37,"NV",313059,82,26,0,0,0,0
1960,38,"NY",17921046,1278,280,0,0,0,0
1960,39,"OH",10748453,1010,349,0,0,0,0
1960,40,"OK",2886016,547,156,0,0,0,0
1960,41,"OR",1903251,319,87,0,0,0,0
1960,42,"PA",12053550,1973,375,0,0,0,0
1960,43,"PR",0,25,0,0,0,0,0
1960,44,"RI",1075568,71,25,0,0,0,0
1960,45,"SC",3059426,604,88,0,0,0,0
1960,46,"SD",854946,220,82,0,0,0,0
1960,47,"TN",4736938,694,145,0,0,0,0
1960,48,"TX",11581243,1410,446,0,0,0,0
1960,49,"UT",1152946,208,57,0,0,0,0
1960,50,"VI",0,3,0,0,0,0,0
1960,51,"VA",4200326,517,130,0,0,0,0
1960,52,"VT",416336,109,23,0,0,0,0
1960,53,"WA",2982942,343,101,0,0,0,0
1960,54,"WI",4396806,517,179,0,0,0,0
1960,55,"WV",2106078,563,51,0,0,0,0
1960,56,"WY",367165,95,41,0,0,0,0
1960,57,"MP",0,1,0,0,0,0,0
1960,98,"FS",0,0,0,0,0,0,0
1960,99,"OT",0,0,0,0,0,0,0
1961,1,"AK",226167,55,6,0,0,0,0
1961,2,"AL",4012225,527,135,0,0,0,0
1961,3,"AR",2171870,381,104,0,0,0,0
1961,4,"AS",0,1,0,0,0,0,0
1961,5,"AZ",1390812,178,43,0,0,0,0
1961,6,"CA",16321400,950,383,0,0,0,0
1961,7,"CO",1889199,333,104,0,0,0,0
1961,8,"CT",2633862,136,71,0,0,0,0
1961,9,"CZ",42122,1,1,0,0,0,0
1961,10,"DC",763956,3,1,0,0,0,0
1961,11,"DE",459345,87,12,0,0,0,0
1961,12,"FL",5506836,1248,177,0,0,0,0
1961,13,"GA",4456527,877,180,0,0,0,0
1961,14,"GM",62044,3,1,0,0,0,0
1961,15,"HI",640031,19,12,0,0,0,0
1961,16,"IA",2850543,293,196,0,0,0,0
1961,17,"ID",748955,157,72,0,0,0,0
1961,18,"IL",10494325,1226,399,0,0,0,0
1961,19,"IN",4702104,405,217,0,0,0,0
1961,20,"KS",2298146,487,187,0,0,0,0
1961,21,"KY",3608847,704,173,0,0,0,0
1961,22,"LA",3819679,332,104,0,0,0,0
1961,23,"MA",5342831,533,200,0,0,0,0
1961,24,"MD",3390613,223,50,0,0,0,0
1961,25,"ME",980249,263,64,0,0,0,0
1961,26,"MI",7945199,887,263,0,0,0,0
1961,27,"MN",3492323,491,211,0,0,0,0
1961,28,"MO",4693399,758,227,0,0,0,0
1961,29,"MS",2841726,307,103,0,0,0,0
1961,30,"MT",714153,154,82,0,0,0,0
1961,31,"NE",1486374,354,129,0,0,0,0
1961,32,"NC",5168803,860,168,0,0,0,0
1961,33,"ND",653381,147,65,0,0,0,0
1961,34,"NH",808876,269,35,0,0,0,0
1961,35,"NJ",6391381,683,286,0,0,0,0
1961,36,"NM",1136258,176,57,0,0,0,0
1961,37,"NV",305414,80,26,0,0,0,0
1961,38,"NY",17577430,1260,294,0,0,0,0
1961,39,"OH",9836502,959,365,0,0,0,0
1961,40,"OK",2681765,527,156,0,0,0,0
1961,41,"OR",1902023,310,92,0,0,0,0
1961,42,"PA",11865297,1941,388,0,0,0,0
1961,43,"PR",2353297,25,0,0,0,0,0
1961,44,"RI",893140,66,32,0,0,0,0
1961,45,"SC",2696021,586,90,0,0,0,0
1961,46,"SD",756097,206,85,0,0,0,0
1961,47,"TN",4049485,654,125,0,0,0,0
1961,48,"TX",10676316,1329,453,0,0,0,0
1961,49,"UT",1008093,209,59,0,0,0,0
1961,50,"VI",0,3,0,0,0,0,0
1961,51,"VA",4124643,512,140,0,0,0,0
1961,52,"VT",446632,109,26,0,0,0,0
1961,53,"WA",2898248,331,107,0,0,0,0
1961,54,"WI",4210497,497,187,0,0,0,0
1961,55,"WV",1922114,550,53,0,0,0,0
1961,56,"WY",333650,90,41,0,0,0,0
1961,57,"MP",0,1,0,0,0,0,0
1961,98,"FS",0,0,0,0,0,0,0
1961,99,"OT",0,0,0,0,0,0,0
1962,1,"AK",0,55,0,0,0,0,0
1962,2,"AL",4220574,524,117,0,0,0,0
1962,3,"AR",2264092,382,95,0,0,0,0
1962,4,"AS",0,1,0,0,0,0,0
1962,5,"AZ",1544737,176,42,0,0,0,0
1962,6,"CA",17523904,945,385,0,0,0,0
1962,7,"CO",2117463,335,102,0,0,0,0
1962,8,"CT",2756794,136,77,0,0,0,0
1962,9,"CZ",0,1,0,0,0,0,0
1962,10,"DC",784000,3,1,0,0,0,0
1962,11,"DE",483769,86,11,0,0,0,0
1962,12,"FL",6049374,1254,174,0,0,0,0
1962,13,"GA",4955619,892,170,0,0,0,0
1962,14,"GM",0,3,0,0,0,0,0
1962,15,"HI",0,18,0,0,0,0,0
1962,16,"IA",2988339,300,195,0,0,0,0
1962,17,"ID",807207,159,73,0,0,0,0
1962,18,"IL",11021552,1242,395,0,0,0,0
1962,19,"IN",4815295,417,217,0,0,0,0
1962,20,"KS",2370728,493,185,0,0,0,0
1962,21,"KY",3371622,689,163,0,0,0,0
1962,22,"LA",3909879,334,100,0,0,0,0
1962,23,"MA",5400078,544,220,0,0,0,0
1962,24,"MD",3457442,219,52,0,0,0,0
1962,25,"ME",1112813,282,78,0,0,0,0
1962,26,"MI",8359145,900,265,0,0,0,0
1962,27,"MN",3601546,490,208,0,0,0,0
1962,28,"MO",4695736,756,226,0,0,0,0
1962,29,"MS",2699431,289,78,0,0,0,0
1962,30,"MT",761846,153,81,0,0,0,0
1962,31,"NE",1614651,360,130,0,0,0,0
1962,32,"NC",5533280,869,163,0,0,0,0
1962,33,"ND",688210,150,65,0,0,0,0
1962,34,"NH",716987,272,39,0,0,0,0
1962,35,"NJ",6729993,704,316,0,0,0,0
1962,36,"NM",1284374,180,58,0,0,0,0
1962,37,"NV",366594,81,26,0,0,0,0
1962,38,"NY",18394921,1268,297,0,0,0,0
1962,39,"OH",10601576,965,361,0,0,0,0
1962,40,"OK",2778299,523,148,0,0,0,0
1962,41,"OR",1962817,311,90,0,0,0,0
1962,42,"PA",12398353,2001,448,0,0,0,0
1962,43,"PR",0,25,0,0,0,0,0
1962,44,"RI",903013,67,30,0,0,0,0
1962,45,"SC",3152403,598,85,0,0,0,0
1962,46,"SD",789154,203,80,0,0,0,0
1962,47,"TN",4301705,654,114,0,0,0,0
1962,48,"TX",10167310,1323,390,0,0,0,0
1962,49,"UT",0,196,0,0,0,0,0
1962,50,"VI",0,3,0,0,0,0,0
1962,51,"VA",0,491,0,0,0,0,0
1962,52,"VT",0,105,0,0,0,0,0
1962,53,"WA",0,326,0,0,0,0,0
1962,54,"WI",0,487,0,0,0,0,0
1962,55,"WV",0,541,0,0,0,0,0
1962,56,"WY",0,89,0,0,0,0,0
1962,57,"MP",0,1,0,0,0,0,0
1962,98,"FS",0,0,0,0,0,0,0
1962,99,"OT",0,0,0,0,0,0,0
1963,1,"AK",248000,55,6,0,0,0,0
1963,2,"AL",4555809,548,136,0,0,0,0
1963,3,"AR",2302117,380,94,0,0,0,0
1963,4,"AS",0,1,0,0,0,0,0
1963,5,"AZ",1654782,182,43,0,0,0,0
