week,party_diff,Candidate_diff_counts,Candidate_diff_distance
1,1.047195273,0.85246342,0.889450805
2,1.040698336,0.849413472,0.888776176
3,1.030818033,0.846191114,0.940564009
4,1.049383467,0.866802211,0.908912476
5,1.080535313,0.899544991,0.945684459
6,1.110045558,0.928471528,0.966133501
7,1.141153593,0.959690596,0.994520441
8,1.154748264,0.98055282,1.041845754
9,1.138254135,0.968989483,1.024105867
10,1.131511631,0.958959306,1.01835768
11,1.142786016,0.971702847,1.030206419
12,1.12290509,0.947182444,1.008401298
13,1.139935027,0.962804165,1.049018668
14,1.147966486,0.977053153,1.072242043
15,1.135475494,0.97242894,1.064149378
16,1.147593189,0.986733639,1.087310838
17,1.152554892,0.987541848,1.073042334
18,1.155400982,0.983445238,1.06900758
19,1.147435823,0.97226455,1.060734968
20,1.149640806,0.972877169,1.056403385
21,1.159531536,0.985086141,1.076740516
22,1.14798404,0.982046597,1.069901803
23,1.158508371,0.989979816,1.073810667
24,1.153849249,0.985701258,1.064568084
25,1.142993138,0.972008536,1.042745568
26,1.161141725,0.991354554,1.041458741
27,1.168535137,1.000244618,1.054390136
28,1.186770015,1.017084761,1.065872264
29,1.209751972,1.047526262,1.097955618
30,1.201972329,1.040421043,1.106666148
31,1.194710402,1.032718647,1.092721217
32,1.177327296,1.019570662,1.094004386
33,1.183889974,1.021597359,1.090412955
34,1.19003351,1.027842033,1.106533141
35,1.187091991,1.025234246,1.1102224
36,1.193579411,1.031642706,1.093529255
37,1.188101029,1.024923671,1.104730384
38,1.197582289,1.0320936,1.104744502
39,1.183271091,1.021806457,1.087148131
40,1.195250545,1.035350622,1.112542917
41,1.200838316,1.042627088,1.127590704
42,1.224772281,1.076007971,1.156308644
43,1.258423508,1.113413106,1.200904971
44,1.256177289,1.117122195,1.196421497
45,1.265189665,1.126465767,1.204385421
46,1.258739911,1.116164419,1.193253863
47,1.260672567,1.11383677,1.196883444
48,1.259491243,1.105620164,1.207849608
49,1.264185879,1.107505381,1.229433981
50,1.268375164,1.121719673,1.228479004
51,1.283233512,1.137579894,1.235859225
52,1.297295464,1.154868704,1.233600356
53,1.280188868,1.139350468,1.196600668
54,1.295555844,1.152058487,1.214831666
55,1.279059052,1.144011008,1.212461093
56,1.318296434,1.183063579,1.224982053
57,1.348376779,1.213020401,1.254167893
58,1.348980357,1.215658587,1.244220645
59,1.343956847,1.216209797,1.228576164
60,1.318456996,1.197318608,1.214432274
61,1.327365123,1.214760214,1.213415243
62,1.368026963,1.262677578,1.237524604
63,1.378003654,1.278566173,1.250285359
64,1.38135921,1.285484384,1.236106917
65,1.369433511,1.276719718,1.280384799
66,1.314317721,1.22139243,1.234666715
67,1.293987018,1.202662451,1.236935349
68,1.338782577,1.241279349,1.249575765
69,1.332455245,1.232364271,1.214019944
70,1.353066724,1.250564586,1.239163867
71,1.372883073,1.278581229,1.26363701
72,1.364164045,1.275146635,1.251034311
73,1.395570686,1.31261786,1.279909314
74,1.399872912,1.319707111,1.26844447
75,1.399911434,1.31940728,1.271851348
76,1.410316245,1.332243417,1.291697927
77,1.447853415,1.377476835,1.317775196
78,1.458623822,1.385225604,1.323066138
79,1.468498063,1.390819609,1.323651547
