post_id,immigration_related,event_related,immigration_sentiment,event_sentiment,Mexican_related,Muslim_related,Trump_related,Trump_sentiment
274793152585613_886585914739664,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
111627345541631_864111046959920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133279166727577_1055842541137897,1,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0
273863336077899_627116190752610,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143666524748_10153341806009749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440522575997388_820524081330567,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208763874023_10153035403774024,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
195768000454891_1055525764479106,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
48654660602_10155514524850603,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
172526489431467_1288250724525699,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
114270361928171_969216039766928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208763874023_10153031136209024,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
208763874023_10153032917764024,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
463855417049923_643332212435575,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
456740217686384_1118176024876130,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
254541051349349_627572754046175,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
467133963318685_978364038862339,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
254541051349349_626709297465854,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
15139936162_10153232004171163,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
131004177063779_474421226055404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316913578439861_642513269213222,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6333396177_10153395088266178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155869377766434_1085101424843220,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167847008004_10153022952633005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467133963318685_975779005787509,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142868065759441_981173715262201,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231919626926856_779153538870126,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
521878704532086_868381163215170,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
113201214447_10153472443379448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273863336077899_626372987493597,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215148520550_10155477291740551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108038612554992_1149676015057908,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
240822886041144_685500114906750,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48654660602_10155518392295603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228702593913193_772295579553889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5550296508_10153675216496509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521878704532086_872394419480511,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18343191100_10153242375706101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413605605357873_937271152991313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316913578439861_636772743120608,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228702593913193_775116195938494,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
273863336077899_627645800699649,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116789651713844_951604244899043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131004177063779_473694106128116,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
413605605357873_932687443449684,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129617873765147_928040823922844,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352587308165634_849651791792514,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554682674553388_906315512723434,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
413605605357873_932319443486484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338263012624_10153375673847625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210732882417014_487446998078933,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8304333127_10153381741298128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84258068778_10152859154218779,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256004367748633_1099048173444244,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150799104953073_969186879780954,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150012808367284_837215129647045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20324257234_10153319534442235,1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
254541051349349_629874213816029,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195768000454891_1054456781252671,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
521878704532086_870036669716286,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
13652355666_10152781828795667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131004177063779_474415132722680,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
40656699159_10153013917959160,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228702593913193_776728749110572,0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
7382473689_10153391365943690,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
